-1.2	5.00E-01	137.16
-1.1	5.00E-01	15.7302
-0.9	5.00E-01	352.881
-0.7	0.5	100.799
-0.6	0.5	0.124898
-0.5	0.5	326.554
-0.4	0.5	241.68
-0.3	0.5	418.561
-0.2	0.5	444
-0.0999997	0.5	344.766
3.11E-07	0.5	187.53
0.1	0.5	80.7344
0.2	0.5	9.89537
0.3	0.5	28.6182
0.4	0.5	254.241
0.5	0.5	753.189
0.6	0.5	1563.27
0.7	0.5	79.8552
0.8	0.5	3421.24
0.9	0.5	3421.24
1	0.5	3421.24
1.1	0.5	3421.24
1.2	0.5	3421.24
1.3	0.5	3421.24
1.6	0.5	3421.24
1.7	0.5	3421.24
1.9	0.5	3421.24
-2	0.6	111.695
-1.9	0.6	172.073
-1.1	0.6	243.056
-1	0.6	129.052
-0.9	0.6	159.587
-0.7	0.6	0.96307
-0.6	0.6	3.56717
-0.5	0.6	2379.97
-0.4	0.6	3421.24
-0.3	0.6	867.28
-0.2	0.6	496.227
-0.0999997	0.6	326.723
3.11E-07	0.6	232.735
0.1	0.6	131.803
0.2	0.6	45.3827
0.3	0.6	0.46607
0.4	0.6	65.7622
0.5	0.6	366.142
0.6	0.6	1014.12
0.7	0.6	1537.36
0.8	0.6	1.68343
0.9	0.6	3421.24
1	0.6	3421.24
1.1	0.6	3421.24
1.2	0.6	3421.24
1.3	0.6	3421.24
1.4	0.6	3421.24
1.7	0.6	3421.24
1.8	0.6	3421.24
-2	0.7	399.601
-1.9	0.7	439.567
-1.8	0.7	0.456804
-1.7	0.7	30.9185
-1.6	0.7	58.8587
-1.5	0.7	127.957
-1.4	0.7	147.881
-1.3	0.7	201.741
-1.2	0.7	206.613
-1.1	0.7	217.343
-0.7	0.7	76.303
-0.6	0.7	237.828
-0.5	0.7	250.095
-0.4	0.7	3421.24
-0.3	0.7	1555.41
-0.2	0.7	471.37
-0.0999997	0.7	373.081
3.11E-07	0.7	265.87
0.1	0.7	170.616
0.2	0.7	92.4215
0.3	0.7	20.088
0.4	0.7	6.52175
0.5	0.7	153.595
0.6	0.7	591.422
0.7	0.7	1403.51
0.8	0.7	312.881
0.9	0.7	3421.24
